"","gene","p.value","gene","count"
"266","ADHL6_ARATH",0.876492699,"ADHL6_ARATH",1
"267","ADHL7_ARATH",0.4889633,"ADHL7_ARATH",2
"268","ADHX_MAIZE",0.307415946,"ADHX_MAIZE",4
"269","ADIP_HUMAN",0.712492275,"ADIP_HUMAN",1
"270","ADK1_ARATH",1,"ADK1_ARATH",1
"271","ADK2_ARATH",0.651554889,"ADK2_ARATH",1
"272","ADLO1_ARATH",0.085010498,"ADLO1_ARATH",7
"273","ADNT1_ARATH",0.055715817,"ADNT1_ARATH",6
"274","ADO1_ORYSJ",0.085527453,"ADO1_ORYSJ",17
"275","ADO2_ORYSJ",0.244957221,"ADO2_ORYSJ",5
"276","ADO3_ORYSJ",0.40582223,"ADO3_ORYSJ",4
"277","ADPO3_ORYSJ",0.284465925,"ADPO3_ORYSJ",4
"278","ADPRM_ORYSJ",0.2174718,"ADPRM_ORYSJ",3
"279","ADT1_MAIZE",0.574955675,"ADT1_MAIZE",1
"280","ADT2_MAIZE",0.950840198,"ADT2_MAIZE",2
"281","ADT3_ARATH",0.892897601,"ADT3_ARATH",1
"282","ADT5_ARATH",0.706928797,"ADT5_ARATH",2
"283","AE7_ARATH",0.821604953,"AE7_ARATH",2
"284","AEE18_ARATH",0.497550007,"AEE18_ARATH",2
"285","AEE19_ARATH",0.641992192,"AEE19_ARATH",2
"286","AEE21_ARATH",0.616176915,"AEE21_ARATH",1
"287","AEE7_ARATH",0.924189292,"AEE7_ARATH",2
"288","AEL1_ARATH",0.179574074,"AEL1_ARATH",5
"289","AFC1_ARATH",0.088632023,"AFC1_ARATH",10
"290","AFC2_ARATH",0.00237319,"AFC2_ARATH",21
"291","AFC3_ARATH",0.016778154,"AFC3_ARATH",3
"292","AFR_ARATH",0.736301054,"AFR_ARATH",2
"293","AG10A_HUMAN",0.750516695,"AG10A_HUMAN",1
"294","AGAL_ORYSJ",0.026632765,"AGAL_ORYSJ",5
"295","AGAL1_ARATH",0.174856564,"AGAL1_ARATH",5
"296","AGAL3_ARATH",0.080665958,"AGAL3_ARATH",3
"297","AGD11_ARATH",0.777163059,"AGD11_ARATH",1
"298","AGD12_ARATH",0.000836676,"AGD12_ARATH",9
"299","AGD14_ARATH",0.747648318,"AGD14_ARATH",5
"300","AGD2_ARATH",0.39310505,"AGD2_ARATH",3
"301","AGD3_ARATH",1,"AGD3_ARATH",1
"302","AGD5_ARATH",0.33443428,"AGD5_ARATH",7
"303","AGD6_ARATH",0.593339879,"AGD6_ARATH",3
"304","AGD8_ARATH",0.367157743,"AGD8_ARATH",3
"305","AGD9_ARATH",0.633636518,"AGD9_ARATH",1
"306","AGL2_BACTQ",0.718389434,"AGL2_BACTQ",3
"307","AGLU_ORYSJ",0.674469376,"AGLU_ORYSJ",1
"308","AGLUP_ARATH",0.841707971,"AGLUP_ARATH",2
"309","AGM1_ORYSJ",0.590262891,"AGM1_ORYSJ",3
"310","AGO1_ARATH",0.395909976,"AGO1_ARATH",1
"311","AGO13_ORYSJ",0.676532235,"AGO13_ORYSJ",1
"312","AGO16_ORYSJ",0.570555231,"AGO16_ORYSJ",3
"313","AGO1A_ORYSJ",0.752493243,"AGO1A_ORYSJ",6
"314","AGO1B_ORYSJ",0.135943849,"AGO1B_ORYSJ",13
"315","AGO1C_ORYSJ",0.231307396,"AGO1C_ORYSJ",8
"316","AGO1D_ORYSJ",0.890332809,"AGO1D_ORYSJ",1
"317","AGO4A_ORYSJ",0.061928671,"AGO4A_ORYSJ",7
"318","AGO4B_ORYSJ",0.427316425,"AGO4B_ORYSJ",2
"319","AGT21_ARATH",0.181022769,"AGT21_ARATH",3
"320","AGT22_ARATH",1,"AGT22_ARATH",1
"321","AGT23_ARATH",0.546882027,"AGT23_ARATH",2
"322","AGUA_ARATH",0.017833484,"AGUA_ARATH",4
"323","AGUB_ORYSJ",0.615214169,"AGUB_ORYSJ",2
"324","AHL1_ARATH",0.435389125,"AHL1_ARATH",2
"325","AHL10_ARATH",0.108203452,"AHL10_ARATH",5
"326","AHL13_ARATH",0.553194872,"AHL13_ARATH",2
"327","AHL9_ARATH",0.352430992,"AHL9_ARATH",1
"328","AHSA_DICDI",0.141182774,"AHSA_DICDI",1
"329","AHSA1_HUMAN",1,"AHSA1_HUMAN",1
"330","AHSA2_BOVIN",0.243917955,"AHSA2_BOVIN",1
"331","AI5L2_ARATH",0.328266851,"AI5L2_ARATH",4
"332","AI5L5_ARATH",0.173737458,"AI5L5_ARATH",3
"333","AI5L6_ARATH",0.753624428,"AI5L6_ARATH",1
"334","AI5L7_ARATH",0.789441935,"AI5L7_ARATH",1
"335","AIB_ARATH",0.048135693,"AIB_ARATH",3
"336","AIFM2_TAEGU",0.321911154,"AIFM2_TAEGU",2
"337","AIG1_ARATH",0.623287193,"AIG1_ARATH",2
"338","AIG2_ARATH",0.82275716,"AIG2_ARATH",4
"339","AIL1_ARATH",0.675928111,"AIL1_ARATH",1
"340","AIL5_ARATH",0.648124632,"AIL5_ARATH",2
"341","AIL6_ARATH",0.188271685,"AIL6_ARATH",2
"342","AIM25_YEAST",0.788834691,"AIM25_YEAST",1
"343","AIM32_CLAL4",2.66e-05,"AIM32_CLAL4",7
"344","AIM32_PICGU",0.890376228,"AIM32_PICGU",1
"345","AIP2_ARATH",0.862239951,"AIP2_ARATH",1
"346","AIR3_ARATH",0.316157332,"AIR3_ARATH",3
"347","AIR9_ARATH",0.182598601,"AIR9_ARATH",8
"348","AK1_ARATH",0.108478823,"AK1_ARATH",4
"349","AKH1_MAIZE",0.162665384,"AKH1_MAIZE",3
"350","AKH2_MAIZE",0.324375503,"AKH2_MAIZE",4
"351","AKR1_SOYBN",0.46353055,"AKR1_SOYBN",15
"352","AKR2_ORYSI",0.184321178,"AKR2_ORYSI",2
"353","AKR2_ORYSJ",0.090154344,"AKR2_ORYSJ",5
"354","AKR2A_ARATH",0.035239881,"AKR2A_ARATH",14
"355","AKR3_ORYSI",0.35782311,"AKR3_ORYSI",3
"356","AKRC9_ARATH",0.586992694,"AKRC9_ARATH",3
"357","AKRCA_ARATH",0.059685431,"AKRCA_ARATH",4
"358","AKRP_ARATH",0.096987449,"AKRP_ARATH",1
"359","AKT1_ORYSI",0.29035717,"AKT1_ORYSI",4
"360","AKT1_ORYSJ",0.11068044,"AKT1_ORYSJ",3
"361","AKT2_ORYSJ",0.099897341,"AKT2_ORYSJ",7
"362","AL121_ARATH",0.920435556,"AL121_ARATH",1
"363","AL221_ARATH",0.194513672,"AL221_ARATH",4
"364","AL2B7_ARATH",0.6569236,"AL2B7_ARATH",1
"365","AL2C4_ARATH",0.494265969,"AL2C4_ARATH",3
"366","AL3F1_ARATH",0.82888348,"AL3F1_ARATH",1
"367","AL3H1_ARATH",0.570280932,"AL3H1_ARATH",4
"368","AL7A1_MALDO",0.435811737,"AL7A1_MALDO",4
"369","AL7B4_ARATH",0.952215736,"AL7B4_ARATH",1
"370","ALA1_ARATH",0.247323639,"ALA1_ARATH",8
"371","ALA10_ARATH",1,"ALA10_ARATH",1
"372","ALA12_ARATH",0.521402904,"ALA12_ARATH",4
"373","ALA2_ARATH",0.180757463,"ALA2_ARATH",7
"374","ALA2_PANMI",0.162031992,"ALA2_PANMI",5
"375","ALA3_ARATH",0.016602696,"ALA3_ARATH",8
"376","ALA4_ARATH",0.107013599,"ALA4_ARATH",2
"377","ALA5_ARATH",0.883285471,"ALA5_ARATH",1
"378","ALA6_ARATH",0.691317129,"ALA6_ARATH",3
"379","ALA8_ARATH",0.449344707,"ALA8_ARATH",2
"380","ALA9_ARATH",0.254900935,"ALA9_ARATH",3
"381","ALAT2_ARATH",1,"ALAT2_ARATH",1
"382","ALAXL_PYRHO",0.133776879,"ALAXL_PYRHO",5
"383","ALB2_PEA",0.408104713,"ALB2_PEA",3
"384","ALB3_ARATH",0.518265408,"ALB3_ARATH",2
"385","ALB31_ARATH",0.736836946,"ALB31_ARATH",1
"386","ALDO1_MAIZE",0.138223277,"ALDO1_MAIZE",7
"387","ALDO1_ORYSJ",1,"ALDO1_ORYSJ",1
"388","ALDO2_MAIZE",0.110659631,"ALDO2_MAIZE",13
"389","ALDO4_ORYSJ",0.755253697,"ALDO4_ORYSJ",1
"390","ALDOL_ORYSJ",0.454392968,"ALDOL_ORYSJ",2
"391","ALE2_ARATH",0.530239781,"ALE2_ARATH",6
"392","ALF_ARATH",0.131969853,"ALF_ARATH",1
"393","ALF_MAIZE",0.605093964,"ALF_MAIZE",4
"394","ALF_ORYSJ",0.584666213,"ALF_ORYSJ",2
"395","ALF_THECA",0.901675976,"ALF_THECA",1
"396","ALF1_PEA",0.132190087,"ALF1_PEA",5
"397","ALF4_ARATH",0.609090088,"ALF4_ARATH",3
"398","ALFC_ORYSJ",0.041816327,"ALFC_ORYSJ",7
"399","ALFC3_ARATH",0.404913381,"ALFC3_ARATH",2
"400","ALFIN_MEDSA",0.469218164,"ALFIN_MEDSA",1
"401","ALFL1_ORYSJ",1,"ALFL1_ORYSJ",1
"402","ALFL3_ORYSJ",0.84291389,"ALFL3_ORYSJ",4
"403","ALFL5_ORYSJ",0.626002223,"ALFL5_ORYSJ",5
"404","ALFL6_ORYSI",0.343782559,"ALFL6_ORYSI",1
"405","ALFL6_ORYSJ",0.662340374,"ALFL6_ORYSJ",3
"406","ALFL7_ARATH",0.727359231,"ALFL7_ARATH",2
"407","ALFL7_ORYSI",0.67235884,"ALFL7_ORYSI",3
"408","ALFL7_ORYSJ",0.088462405,"ALFL7_ORYSJ",3
"409","ALFL8_ORYSJ",0.801060512,"ALFL8_ORYSJ",3
"410","ALG11_ARATH",1,"ALG11_ARATH",1
"411","ALG12_ARATH",0.595542724,"ALG12_ARATH",1
"412","ALG13_RAT",0.647331607,"ALG13_RAT",1
"413","ALG14_MOUSE",0.411004991,"ALG14_MOUSE",1
"414","ALG2_HUMAN",0.874086457,"ALG2_HUMAN",1
"415","ALG2_MOUSE",0.501795018,"ALG2_MOUSE",2
"416","ALG5_DICDI",0.280410409,"ALG5_DICDI",1
"417","ALG5_DROME",0.146820346,"ALG5_DROME",1
"418","ALG6_ARATH",0.738503296,"ALG6_ARATH",1
