"","Group","nSpecies","S","alpha","Variance","Pvalue","FDR","ange","sorgh","NormScore.ange","NormScore.sorgh","ange.count","sorgh.count","ange.count.1","sorgh.count.1"
"8931","THIC_ARATH",2,0.809158191767632,3.26564606134371,0.306218120768584,0.571827498496954,1,0.467559502,0.108078347,0.760228661347079,0.858087722188185,1,7,1,7
"8932","THIC1_ARATH",2,0.522211516459536,7.55871966763495,0.132297537674511,0.931198427563672,1,0.212314454,0.408185409,0.678694961907551,0.36572807101152,5,6,5,6
"8933","THIC2_ARATH",2,0.909770271621706,2,0.5,0.457048119419931,1,0.389176502,0.416521067,0.943722305621407,0.875818237622004,1,1,1,1
"8934","THIK1_ARATH",1,0,1,1,1,1,1,NA,0,NA,1,NA,1,NA
"8935","THIK2_ARATH",2,0.86031457067855,13.8727089144798,0.0720839748144819,0.675791224795966,1,0.051113347,0.063104936,0.805705794506074,0.914923346851025,22,11,22,11
"8936","THIM_MAIZE",1,0.233616694972679,1,1,0.791665207,1,0.791665207,NA,0.233616694972679,NA,1,NA,1,NA
"8937","THO4A_ARATH",2,1.19530071194841,6.93888744032152,0.144115322319404,0.271141213562475,1,0.00837065,0.401229147,1.95225458742553,0.438346836471293,6,4,6,4
"8938","THO4B_ARATH",2,0.270017497592757,2.57142857142857,0.388888888888889,0.933302386139957,1,0.444834715,1,0.540034995185513,0,2,1,2,1
"8939","THO4D_ARATH",2,1.00313841657272,7.23494136976642,0.138218120768584,0.447210829059944,1,0.111677638,0.089065517,0.845452976822942,1.16082385632249,7,4,7,4
"8940","THO5B_ARATH",2,0.739188109882084,4.5271629778672,0.220888888888889,0.674066954846424,1,0.438357833,0.19715479,0.395865471275836,1.08251074848833,4,2,4,2
"8941","THO7B_ARATH",2,0.121118649821189,2.57142857142857,0.388888888888889,0.988916593350871,1,0.781494192,0.92508259,0.164365040673351,0.0778722589690264,2,1,2,1
"8942","THOC1_ARATH",2,0.565291077614451,4.5271629778672,0.220888888888889,0.82758316766005,1,0.549871902,0.217680518,0.398713288891236,0.731868866337667,2,4,2,4
"8943","THOC2_ARATH",2,0.452221381583316,8.66966996258746,0.115344644526878,0.974096716965797,1,0.624266601,0.129422084,0.206355221896485,0.698087541270146,5,10,5,10
"8944","THOC3_ARATH",2,1.0471133850798,3.6,0.277777777777778,0.395865430196945,1,0.285170648,0.151575316,0.836445008659594,1.2577817615,2,2,2,2
"8945","THOC6_ARATH",2,0.275148458880932,2.57142857142857,0.388888888888889,0.930626550451195,1,0.91168717,0.503204902,0.0924583631019048,0.457838554659959,1,2,1,2
"8946","THRC_SOLTU",2,0.535590594555612,4.93877551020408,0.202479338842975,0.864276297392678,1,0.486791472,0.288254144,0.392683329005619,0.678497860105604,3,3,3,3
"8947","THUM1_DROME",2,0.194547910352826,2,0.5,0.941347637108871,1,0.951817935,0.711973695,0.0493815072282796,0.339714313477372,1,1,1,1
"8948","TI10A_ORYSJ",2,1.10413286755612,8.04954367666232,0.124230644638808,0.343616599910962,1,0.221874101,0.020148894,0.614549049221082,1.59371668589116,6,6,6,6
"8949","TI10B_ORYSJ",2,0.920631660370721,3.6,0.277777777777778,0.490795258665761,1,0.282175244,0.223874867,0.843484645619471,0.997778675121971,2,2,2,2
"8950","TI10C_ORYSJ",2,2.54206484845493,4.5271629778672,0.220888888888889,0.00635544326144531,0.440133703362723,0.007970066,0.020635571,3.22137500344023,1.86275469346963,2,4,2,4
"8951","TI110_ARATH",2,0.329771746566428,4.16443594646272,0.240128558310376,0.95879416674027,1,0.612018311,0.54386163,0.327328717988508,0.332214775144349,2,3,2,3
