"","gene","p.value","gene","count"
"302","ADHL6_ARATH",0.881398034,"ADHL6_ARATH",1
"303","ADHX_MAIZE",0.95074458,"ADHX_MAIZE",1
"304","ADIP_HUMAN",0.749582278,"ADIP_HUMAN",2
"305","ADK2_ARATH",0.074712088,"ADK2_ARATH",5
"306","ADLO1_ARATH",0.619962899,"ADLO1_ARATH",5
"307","ADNT1_ARATH",0.092878803,"ADNT1_ARATH",3
"308","ADO1_ORYSJ",0.01274395,"ADO1_ORYSJ",12
"309","ADO2_ORYSJ",0.170170881,"ADO2_ORYSJ",4
"310","ADO3_ORYSJ",0.320516969,"ADO3_ORYSJ",4
"311","ADPO1_ORYSJ",0.686187353,"ADPO1_ORYSJ",2
"312","ADPO3_ORYSJ",0.025926838,"ADPO3_ORYSJ",5
"313","ADPPT_XENLA",0.432654355,"ADPPT_XENLA",2
"314","ADPRM_ORYSJ",0.636739014,"ADPRM_ORYSJ",2
"315","ADT_ORYSJ",0.948433405,"ADT_ORYSJ",1
"316","ADT1_MAIZE",0.512453602,"ADT1_MAIZE",2
"317","ADT3_ARATH",0.977883848,"ADT3_ARATH",1
"318","ADT4_ARATH",0.895230731,"ADT4_ARATH",1
"319","ADT5_ARATH",0.032316607,"ADT5_ARATH",3
"320","AE7_ARATH",0.743962492,"AE7_ARATH",1
"321","AEE18_ARATH",0.065479482,"AEE18_ARATH",8
"322","AEE7_ARATH",0.609228312,"AEE7_ARATH",4
"323","AEL1_ARATH",0.304921555,"AEL1_ARATH",4
"324","AFC1_ARATH",0.100102523,"AFC1_ARATH",8
"325","AFC2_ARATH",0.036868688,"AFC2_ARATH",20
"326","AFC3_ARATH",0.353345306,"AFC3_ARATH",4
"327","AFG1_YEAST",2.83e-05,"AFG1_YEAST",3
"328","AGAL_COFAR",0.49167023,"AGAL_COFAR",1
"329","AGAL_ORYSJ",0.591273568,"AGAL_ORYSJ",4
"330","AGAL1_ARATH",0.095800685,"AGAL1_ARATH",5
"331","AGAL3_ARATH",0.10610997,"AGAL3_ARATH",5
"332","AGCT2_HORVU",1,"AGCT2_HORVU",1
"333","AGD11_ARATH",0.439613419,"AGD11_ARATH",2
"334","AGD12_ARATH",0.429889335,"AGD12_ARATH",7
"335","AGD14_ARATH",5.25e-06,"AGD14_ARATH",13
"336","AGD2_ARATH",0.836812993,"AGD2_ARATH",2
"337","AGD3_ARATH",0.700213822,"AGD3_ARATH",1
"338","AGD4_ARATH",0.368799353,"AGD4_ARATH",3
"339","AGD5_ARATH",0.521685808,"AGD5_ARATH",4
"340","AGD6_ARATH",0.081160112,"AGD6_ARATH",5
"341","AGD7_ARATH",0.927028321,"AGD7_ARATH",1
"342","AGD8_ARATH",0.07330809,"AGD8_ARATH",5
"343","AGD9_ARATH",0.215139407,"AGD9_ARATH",3
"344","AGGL_ABRPR",0.048855752,"AGGL_ABRPR",1
"345","AGL2_BACTQ",0.769961772,"AGL2_BACTQ",4
"346","AGLU_ORYSJ",0.164814119,"AGLU_ORYSJ",2
"347","AGLUP_ARATH",0.462990901,"AGLUP_ARATH",3
"348","AGM1_ORYSJ",0.650222685,"AGM1_ORYSJ",4
"349","AGO1_ARATH",0.362909788,"AGO1_ARATH",1
"350","AGO13_ORYSJ",1,"AGO13_ORYSJ",1
"351","AGO16_ORYSJ",0.78964041,"AGO16_ORYSJ",5
"352","AGO1A_ORYSJ",0.627719641,"AGO1A_ORYSJ",4
"353","AGO1B_ORYSJ",0.050102156,"AGO1B_ORYSJ",27
"354","AGO1C_ORYSJ",0.377668478,"AGO1C_ORYSJ",6
"355","AGO4A_ORYSJ",0.162175392,"AGO4A_ORYSJ",9
"356","AGO4B_ORYSJ",0.312161175,"AGO4B_ORYSJ",6
"357","AGP30_ARATH",0.717796503,"AGP30_ARATH",1
"358","AGT21_ARATH",0.339834643,"AGT21_ARATH",2
"359","AGT22_ARATH",0.16646498,"AGT22_ARATH",1
"360","AGT23_ARATH",0.25874552,"AGT23_ARATH",2
"361","AGUA_ARATH",0.026625315,"AGUA_ARATH",3
"362","AGUB_ORYSJ",0.17120364,"AGUB_ORYSJ",4
"363","AHL1_ARATH",0.558865824,"AHL1_ARATH",4
"364","AHL10_ARATH",0.14246642,"AHL10_ARATH",9
"365","AHL13_ARATH",0.393546427,"AHL13_ARATH",1
"366","AHL9_ARATH",0.75204823,"AHL9_ARATH",2
"367","AHSA_DICDI",0.181562624,"AHSA_DICDI",1
"368","AHSA1_HUMAN",0.702521078,"AHSA1_HUMAN",1
"369","AI5L2_ARATH",0.060876679,"AI5L2_ARATH",7
"370","AI5L3_ARATH",0.153130348,"AI5L3_ARATH",1
"371","AI5L5_ARATH",0.899913027,"AI5L5_ARATH",1
"372","AI5L6_ARATH",0.168910585,"AI5L6_ARATH",3
"373","AI5L7_ARATH",0.227281658,"AI5L7_ARATH",3
"374","AIB_ARATH",0.10896576,"AIB_ARATH",2
"375","AIFM2_TAEGU",1,"AIFM2_TAEGU",1
"376","AIG1_ARATH",0.306884778,"AIG1_ARATH",4
"377","AIG2_ARATH",0.284106339,"AIG2_ARATH",6
"378","AIG2L_ARATH",0.023201787,"AIG2L_ARATH",3
"379","AIL1_ARATH",5.49e-05,"AIL1_ARATH",5
"380","AIL5_ARATH",0.350782568,"AIL5_ARATH",1
"381","AIM32_LACTC",0.834445338,"AIM32_LACTC",1
"382","AIP2_ARATH",0.364573003,"AIP2_ARATH",2
"383","AIR3_ARATH",0.12944219,"AIR3_ARATH",4
"384","AIR9_ARATH",0.058290459,"AIR9_ARATH",11
"385","AK1_ARATH",0.278761059,"AK1_ARATH",7
"386","AK1H_ECOLI",0.640801392,"AK1H_ECOLI",4
"387","AK2_ARATH",0.220065701,"AK2_ARATH",1
"388","AKH1_MAIZE",0.19339674,"AKH1_MAIZE",6
"389","AKH2_MAIZE",0.039795285,"AKH2_MAIZE",9
"390","AKR1_NEUCR",1,"AKR1_NEUCR",1
"391","AKR1_ORYSJ",0.435277359,"AKR1_ORYSJ",1
"392","AKR1_SOYBN",0.151265818,"AKR1_SOYBN",14
"393","AKR2_ORYSJ",0.226150726,"AKR2_ORYSJ",4
"394","AKR2A_ARATH",0.175966385,"AKR2A_ARATH",14
"395","AKR3_ORYSI",0.314343046,"AKR3_ORYSI",1
"396","AKRC9_ARATH",0.098951946,"AKRC9_ARATH",4
"397","AKRCA_ARATH",0.102865871,"AKRCA_ARATH",3
"398","AKRP_ARATH",0.248387622,"AKRP_ARATH",1
"399","AKT1_ORYSI",0.091738541,"AKT1_ORYSI",6
"400","AKT1_ORYSJ",0.277141614,"AKT1_ORYSJ",4
"401","AKT2_ARATH",1,"AKT2_ARATH",1
"402","AKT2_ORYSJ",0.330633971,"AKT2_ORYSJ",6
"403","AL121_ARATH",0.049382135,"AL121_ARATH",2
"404","AL221_ARATH",0.449844861,"AL221_ARATH",4
"405","AL2B7_ARATH",0.471609558,"AL2B7_ARATH",2
"406","AL2C4_ARATH",0.182990122,"AL2C4_ARATH",4
"407","AL3F1_ARATH",0.500886141,"AL3F1_ARATH",4
"408","AL3H1_ARATH",0.995207107,"AL3H1_ARATH",1
"409","AL3I1_ARATH",0.63568368,"AL3I1_ARATH",2
"410","AL7A1_MALDO",0.203353727,"AL7A1_MALDO",2
"411","AL7B4_ARATH",0.748734917,"AL7B4_ARATH",1
