"","gene","dr7","dr8","ww8","ww9"
"314","AGO1B_ORYSJ",24.3450769230769,15.6264615384615,17.8741538461538,16.1749230769231
"315","AGO1C_ORYSJ",9.72975,16.575375,9.738125,8.755
"316","AGO1D_ORYSJ",2.523,9.985,5.405,8.149
"317","AGO4A_ORYSJ",16.3767142857143,10.237,16.9532857142857,13.5802857142857
"318","AGO4B_ORYSJ",11.755,5.8045,9.6765,8.0125
"319","AGT21_ARATH",6.826,5.979,6.06133333333333,3.99633333333333
"320","AGT22_ARATH",10.545,0.226,12.02,0
"321","AGT23_ARATH",5.152,4.5085,5.61,7.9195
"322","AGUA_ARATH",7.54925,4.72625,7.8205,12.8855
"323","AGUB_ORYSJ",6.821,6.2895,7.5175,3.327
"324","AHL1_ARATH",9.956,8.5215,12.092,10.494
"325","AHL10_ARATH",20.9446,11.2074,18.1902,18.051
"326","AHL13_ARATH",11.268,12.2825,14.179,13.743
"327","AHL9_ARATH",8.337,1.743,13.877,7.778
"328","AHSA_DICDI",16.87,14.504,32.225,29.567
"329","AHSA1_HUMAN",8.736,12.029,14.389,7.504
"330","AHSA2_BOVIN",12.223,20.53,22.943,29.44
"331","AI5L2_ARATH",6.76075,8.239,11.44825,8.4275
"332","AI5L5_ARATH",11.4783333333333,16.2616666666667,11.716,9.51066666666667
"333","AI5L6_ARATH",23.63,14.988,11.753,21.281
"334","AI5L7_ARATH",21.84,7.209,14.348,9.507
"335","AIB_ARATH",11.7536666666667,4.49033333333333,15.4866666666667,10.5723333333333
"336","AIFM2_TAEGU",3.0695,0,2.4565,3.8985
"337","AIG1_ARATH",34.5185,39.063,27.835,34.9365
"338","AIG2_ARATH",4.34025,5.91775,5.13575,4.5485
"339","AIL1_ARATH",13.392,7.586,12.533,14.305
"340","AIL5_ARATH",4.957,4.207,6.2205,5.56
"341","AIL6_ARATH",7.0805,7.424,6.169,8.3155
"342","AIM25_YEAST",5.175,2.087,3.897,6.087
"343","AIM32_CLAL4",9.73514285714286,8.68914285714286,9.11614285714286,8.46885714285714
"344","AIM32_PICGU",12.455,15.516,11.959,13.23
"345","AIP2_ARATH",13.846,20.196,16.317,14.1
"346","AIR3_ARATH",4.42066666666667,5.84966666666667,7.056,7.52666666666667
"347","AIR9_ARATH",5.481875,5.917875,8.1575,6.753125
"348","AK1_ARATH",16.09525,11.104,19.86075,12.6485
"349","AKH1_MAIZE",2.575,2.73666666666667,3.535,2.586
"350","AKH2_MAIZE",7.87125,6.53925,9.64075,8.9015
