"","gene","adr7","adr8","aww7","aww8"
"9666","VIP1_YEAST",1.399,5.247,3.151,1.664
"9667","VIP2_NICBE",4.59325,2.965125,4.11875,3.371625
"9668","VIP3_ARATH",10.595,8.267,8.157,10.56
"9669","VIP4_ARATH",5.99025,4.629,6.28375,5.08675
"9670","VIP5_ARATH",6.451,5.151,6.1938,7.528
"9671","VIP6_ARATH",5.12733333333333,2.9645,4.74016666666667,4.11533333333333
"9672","VIR_DROME",2.5865,0.637,0.876,1.5955
"9673","VIT11_ORYSJ",4.96166666666667,4.712,2.111,5.07933333333333
"9674","VITH5_ORYSJ",3.931,8.653,10.759,5.833
"9675","VOZ1_ARATH",5.324,5.80827272727273,5.66127272727273,6.45036363636364
"9676","VP13A_DICDI",5.698,5.729,3.586,5.657
"9677","VP13B_DICDI",5.965,2.667,4.561,2.916
"9678","VP13C_HUMAN",19.985,13.911,13.309,16.393
"9679","VP13C_MOUSE",25.637,12.069,18.688,20.161
"9680","VP13D_DICDI",7.341,7.823,5.6645,6.063
"9681","VP13E_DICDI",1.178,0,0,0
"9682","VP13F_DICDI",3.553,0.9105,6.991,1.5415
"9683","VP202_ARATH",24.366,38.328,21.103,26.708
"9684","VP221_ARATH",7.75075,4.08275,8.569,5.701
"9685","VP241_ARATH",9.07425,10.677,10.16525,9.84075
"9686","VP242_ARATH",9.233,12.476,6.649,9.904
"9687","VP26A_ARATH",6.631,5.60066666666667,6.37433333333333,7.14733333333333
"9688","VP321_ARATH",15.7492222222222,14.5667777777778,16.646,19.0876666666667
"9689","VP322_ARATH",2.08933333333333,0.960333333333333,3.38233333333333,3.223
"9690","VP35A_ARATH",5.1965,15.1585,14.2515,9.9485
"9691","VP35B_ARATH",10.1309090909091,8.52536363636364,7.04154545454545,7.24136363636364
"9692","VP371_ARATH",8.803,10.6983333333333,7.72166666666667,7.88166666666667
"9693","VP372_ARATH",8.137,0,12.759,16.452
"9694","VP52A_ARATH",6.881,3.4375,6.5505,6.327
"9695","VP52B_ARATH",10.945,10.934,8.593,12.097
"9696","VP53A_ARATH",9.767,3.995,6.623,8.877
"9697","VPE_VICSA",27.74,39.5595,29.198,22.735
"9698","VPE1_ORYSI",8.948,10.902,7.432,2.261
"9699","VPE1_ORYSJ",6.72514285714286,6.24357142857143,6.952,6.757
"9700","VPE1_PHAVU",23.834,16.0386666666667,11.7521666666667,17.6228333333333
